payer_email,recipient_email,sum,currency,billing_date,comment
leo@mail.com,vasya@mail.com,759.00,EUR,4/14/2015,I wish real life was like cartoons. I could wear the same outfit and nobody would care.
enzo@mail.com,petya@mail.com,412.00,AUD,1/25/2015,I haven't seen any statuses about Ninjas lately....well played Ninjas.
franz@mail.com,ivan@mail.com,394.00,GBP,9/7/2015,I wish real life was like cartoons. I could wear the same outfit and nobody would care.
vasya@mail.com,lenny@mail.com,300.00,EUR,5/9/2015,"I love how, in horror movies, the person yells out,Hello? As if the bad is going to yell back, Yeah, I'm in the kitchen! Do you want a sandwich? Or,Hey, yeah I'm back here with a chainsaw. Come on down."
petya@mail.com,alex@mail.com,800.00,USD,1/1/2015,"I do 5 sit-ups every morning. May not sound like much, but there is only so many times you can hit the snooze button...'"
ivan@mail.com,john@mail.com,429.00,CAD,9/3/2015,"I dream of a better tomorrow, where chickens can cross the road and not be questioned about their motives."
bobby@mail.com,leo@mail.com,580.00,GBP,9/16/2015,I wish real life was like cartoons. I could wear the same outfit and nobody would care.
lenny@mail.com,enzo@mail.com,335.00,CAD,3/24/2015,"One time at the beach this guy was swimming in the ocean yelling Help! Shark! Help!. I just laughed, I knew that shark wasn't going to help them."
igor@mail.com,franz@mail.com,610.00,JPY,6/14/2015,I wish real life was like cartoons. I could wear the same outfit and nobody would care.
john@mail.com,vasya@mail.com,356.00,MYR,11/12/2015,"I feel like getting something done today, so I'm just going to sit here until the feeling passes."
leo@mail.com,petya@mail.com,993.00,JPY,3/30/2015,I changed all my passwords to 'incorrect'. So my computer just tells me when I forgot.
enzo@mail.com,ivan@mail.com,824.00,GBP,8/28/2015,"I was planning to do something today, but I haven't finished doing nothing from yesterday."
franz@mail.com,bobby@mail.com,422.00,EUR,5/4/2015,"No I didn't trip, the floor looked like it needed a hug."
vasya@mail.com,alex@mail.com,845.00,CAD,4/11/2015,The dictionary is the only place where success comes before work.
petya@mail.com,john@mail.com,925.00,USD,7/9/2015,"Grammar is somewhat important. Commas do save lives for instance: 'Let's eat grandpa.' 'Lets eat, grandpa.'"
ivan@mail.com,leo@mail.com,185.00,EUR,8/21/2015,"I just dropped my laptop off the boat.....It's a Dell, rolling in the deep."
bobby@mail.com,enzo@mail.com,245.00,GBP,2/20/2015,I wish real life was like cartoons. I could wear the same outfit and nobody would care.
lenny@mail.com,franz@mail.com,533.00,GBP,1/16/2015,You remind me of my Chinese friend...Ug Lee.
igor@mail.com,vasya@mail.com,502.00,AUD,10/28/2015,"I was complimented on my driving. Someone left a note on my windshield that said, 'Parking Fine.'"
john@mail.com,petya@mail.com,110.00,EUR,5/10/2015,I changed all my passwords to 'incorrect'. So my computer just tells me when I forgot.
leo@mail.com,ivan@mail.com,223.00,GBP,8/1/2015,"Grammar is somewhat important. Commas do save lives for instance: 'Let's eat grandpa.' 'Lets eat, grandpa.'"
enzo@mail.com,bobby@mail.com,177.00,USD,3/16/2015,I speak my mind. I never mind what I speak.
franz@mail.com,lenny@mail.com,839.00,USD,11/6/2015,"I dream of a better tomorrow, where chickens can cross the road and not be questioned about their motives."
vasya@mail.com,john@mail.com,942.00,CHF,12/7/2015,"Better late then never, but never late is better."
petya@mail.com,leo@mail.com,102.00,GBP,2/15/2015,"I do 5 sit-ups every morning. May not sound like much, but there is only so many times you can hit the snooze button...'"
ivan@mail.com,enzo@mail.com,711.00,AUD,5/29/2015,I speak my mind. I never mind what I speak.
bobby@mail.com,franz@mail.com,624.00,USD,1/8/2015,"I love how, in horror movies, the person yells out,Hello? As if the bad is going to yell back, Yeah, I'm in the kitchen! Do you want a sandwich? Or,Hey, yeah I'm back here with a chainsaw. Come on down."
lenny@mail.com,vasya@mail.com,698.00,USD,2/26/2015,"I wonder if tap dancers walk into a room, look at the floor and think,'I'd so tap that.'"
igor@mail.com,petya@mail.com,843.00,MYR,2/14/2015,"I wonder if tap dancers walk into a room, look at the floor and think,'I'd so tap that.'"
john@mail.com,ivan@mail.com,808.00,EUR,9/21/2015,"I wonder if tap dancers walk into a room, look at the floor and think,'I'd so tap that.'"
leo@mail.com,bobby@mail.com,527.00,AUD,8/9/2015,I wish real life was like cartoons. I could wear the same outfit and nobody would care.
enzo@mail.com,lenny@mail.com,585.00,CHF,9/6/2015,You remind me of my Chinese friend...Ug Lee.
franz@mail.com,alex@mail.com,808.00,CAD,6/7/2015,"One time at the beach this guy was swimming in the ocean yelling Help! Shark! Help!. I just laughed, I knew that shark wasn't going to help them."
vasya@mail.com,leo@mail.com,349.00,USD,10/7/2015,"I was complimented on my driving. Someone left a note on my windshield that said, 'Parking Fine.'"
petya@mail.com,enzo@mail.com,265.00,INR,6/29/2015,"I dream of a better tomorrow, where chickens can cross the road and not be questioned about their motives."
ivan@mail.com,franz@mail.com,180.00,SGD,3/15/2015,"I was planning to do something today, but I haven't finished doing nothing from yesterday."
bobby@mail.com,vasya@mail.com,129.00,USD,10/6/2015,You remind me of my Chinese friend...Ug Lee.
lenny@mail.com,petya@mail.com,703.00,SGD,3/31/2015,I haven't seen any statuses about Ninjas lately....well played Ninjas.
igor@mail.com,ivan@mail.com,533.00,EUR,2/4/2015,"Procrastinator? No, I just wait until the last second to do my work because I will be older, therefore wiser."
john@mail.com,bobby@mail.com,129.00,SGD,10/31/2015,"On a scale of Voldemort to Pinocchio, how Nosy are you?"
leo@mail.com,lenny@mail.com,858.00,MYR,4/14/2015,I changed all my passwords to 'incorrect'. So my computer just tells me when I forgot.
enzo@mail.com,alex@mail.com,461.00,JPY,8/9/2015,"Grammar is somewhat important. Commas do save lives for instance: 'Let's eat grandpa.' 'Lets eat, grandpa.'"
franz@mail.com,john@mail.com,467.00,CAD,1/7/2015,"I wonder if tap dancers walk into a room, look at the floor and think,'I'd so tap that.'"
vasya@mail.com,enzo@mail.com,684.00,USD,5/7/2015,"No I didn't trip, the floor looked like it needed a hug."
petya@mail.com,franz@mail.com,329.00,CHF,1/28/2015,"Grammar is somewhat important. Commas do save lives for instance: 'Let's eat grandpa.' 'Lets eat, grandpa.'"
ivan@mail.com,vasya@mail.com,823.00,JPY,12/18/2015,"I just dropped my laptop off the boat.....It's a Dell, rolling in the deep."
bobby@mail.com,petya@mail.com,377.00,CHF,7/20/2015,Whatever you do in life give 100%.....unless you're giving blood.
lenny@mail.com,ivan@mail.com,604.00,GBP,4/17/2015,I haven't seen any statuses about Ninjas lately....well played Ninjas.
igor@mail.com,bobby@mail.com,979.00,GBP,4/15/2015,"One time at the beach this guy was swimming in the ocean yelling Help! Shark! Help!. I just laughed, I knew that shark wasn't going to help them."
john@mail.com,lenny@mail.com,683.00,JPY,5/15/2015,"One time at the beach this guy was swimming in the ocean yelling Help! Shark! Help!. I just laughed, I knew that shark wasn't going to help them."
leo@mail.com,alex@mail.com,611.00,SGD,6/27/2015,"I do 5 sit-ups every morning. May not sound like much, but there is only so many times you can hit the snooze button...'"
enzo@mail.com,john@mail.com,761.00,AUD,8/2/2015,I changed all my passwords to 'incorrect'. So my computer just tells me when I forgot.
franz@mail.com,leo@mail.com,587.00,CAD,10/24/2015,"I love how, in horror movies, the person yells out,Hello? As if the bad is going to yell back, Yeah, I'm in the kitchen! Do you want a sandwich? Or,Hey, yeah I'm back here with a chainsaw. Come on down."
vasya@mail.com,franz@mail.com,666.00,GBP,4/3/2015,"Better late then never, but never late is better."
petya@mail.com,vasya@mail.com,792.00,AUD,1/21/2015,"I do 5 sit-ups every morning. May not sound like much, but there is only so many times you can hit the snooze button...'"
ivan@mail.com,petya@mail.com,521.00,MYR,2/23/2015,"On a scale of Voldemort to Pinocchio, how Nosy are you?"
bobby@mail.com,ivan@mail.com,788.00,SGD,10/5/2015,Whatever you do in life give 100%.....unless you're giving blood.
lenny@mail.com,bobby@mail.com,491.00,INR,2/4/2015,"I was planning to do something today, but I haven't finished doing nothing from yesterday."
igor@mail.com,lenny@mail.com,247.00,EUR,10/10/2015,I really like ceilings......I guess you could call me a ceiling fan.
john@mail.com,alex@mail.com,137.00,CHF,6/4/2015,I speak my mind. I never mind what I speak.
leo@mail.com,john@mail.com,514.00,GBP,12/16/2015,"I love how, in horror movies, the person yells out,Hello? As if the bad is going to yell back, Yeah, I'm in the kitchen! Do you want a sandwich? Or,Hey, yeah I'm back here with a chainsaw. Come on down."
enzo@mail.com,leo@mail.com,990.00,INR,9/1/2015,"I dream of a better tomorrow, where chickens can cross the road and not be questioned about their motives."
franz@mail.com,enzo@mail.com,459.00,CHF,9/15/2015,"Anytime a bird poops on one of my windows, I eat a whole plate of scrambled egg on my patio. Just to show them what I'm capable of. Take that birds"
vasya@mail.com,petya@mail.com,120.00,INR,8/31/2015,"Anytime a bird poops on one of my windows, I eat a whole plate of scrambled egg on my patio. Just to show them what I'm capable of. Take that birds"
petya@mail.com,ivan@mail.com,610.00,GBP,1/13/2015,"I do 5 sit-ups every morning. May not sound like much, but there is only so many times you can hit the snooze button...'"
ivan@mail.com,bobby@mail.com,466.00,CHF,5/16/2015,"One time at the beach this guy was swimming in the ocean yelling Help! Shark! Help!. I just laughed, I knew that shark wasn't going to help them."
bobby@mail.com,lenny@mail.com,275.00,CHF,8/11/2015,"I was planning to do something today, but I haven't finished doing nothing from yesterday."
lenny@mail.com,alex@mail.com,104.00,CHF,12/22/2015,You remind me of my Chinese friend...Ug Lee.
igor@mail.com,john@mail.com,308.00,EUR,1/19/2015,"I was planning to do something today, but I haven't finished doing nothing from yesterday."
john@mail.com,leo@mail.com,257.00,AUD,8/7/2015,I changed all my passwords to 'incorrect'. So my computer just tells me when I forgot.
leo@mail.com,enzo@mail.com,477.00,MYR,10/20/2015,"One time at the beach this guy was swimming in the ocean yelling Help! Shark! Help!. I just laughed, I knew that shark wasn't going to help them."
enzo@mail.com,franz@mail.com,436.00,USD,4/7/2015,The dictionary is the only place where success comes before work.
franz@mail.com,vasya@mail.com,398.00,GBP,7/30/2015,I wish real life was like cartoons. I could wear the same outfit and nobody would care.
pasha@mail.com,katya@mail.com,300.00,EUR,2/14/2019,Valentines day present)
